"id","days_to_event","date_out","out_event","date_in","in_event","breed","color","intake_age","adopt"
"A730601",1,"07/08/2016 09:00:00 AM","Transfer","07/07/2016 12:11:00 PM","Stray","Domestic Shorthair Mix","Blue Tabby",7,0
"A679549",25,"06/16/2014 01:54:00 PM","Transfer","05/22/2014 03:43:00 PM","Stray","Domestic Shorthair Mix","Black/White",1,0
"A683656",4,"07/17/2014 04:57:00 PM","Adoption","07/13/2014 01:20:00 PM","Stray","Snowshoe Mix","Lynx Point",2,1
"A709749",41,"09/22/2015 12:49:00 PM","Transfer","08/12/2015 06:29:00 PM","Stray","Domestic Shorthair Mix","Calico",12,0
"A733551",9,"09/01/2016 12:00:00 AM","Transfer","08/23/2016 02:35:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",1,0
"A756485",4,"08/24/2017 05:34:00 PM","Adoption","08/20/2017 03:07:00 PM","Stray","Domestic Shorthair Mix","Blue Tabby",1,1
"A732960",4,"08/19/2016 06:27:00 PM","Adoption","08/15/2016 03:08:00 PM","Stray","Domestic Shorthair Mix","Calico",2,1
"A664571",5,"10/10/2013 02:07:00 PM","Adoption","10/05/2013 01:43:00 PM","Owner Surrender","Domestic Shorthair Mix","Torbie",24,1
"A727402",24,"06/14/2016 04:18:00 PM","Adoption","05/21/2016 04:30:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",1,1
"A749579",2,"05/18/2017 03:36:00 PM","Transfer","05/16/2017 05:19:00 PM","Stray","Domestic Shorthair Mix","Blue Tabby",3,0
"A729190",34,"07/18/2016 05:50:00 PM","Adoption","06/14/2016 02:42:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",4,1
"A754695",27,"08/19/2017 01:02:00 PM","Adoption","07/23/2017 11:17:00 AM","Stray","Domestic Shorthair Mix","Blue Tabby",12,1
"A752501",3,"06/26/2017 04:05:00 PM","Transfer","06/23/2017 11:00:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby",1,0
"A741843",151,"06/10/2017 03:21:00 PM","Euthanasia","01/10/2017 09:18:00 AM","Owner Surrender","Domestic Shorthair Mix","Orange Tabby",7,0
"A751399",106,"09/21/2017 12:49:00 PM","Adoption","06/07/2017 04:30:00 PM","Stray","Domestic Shorthair Mix","Blue Tabby",0,1
"A703167",4,"05/25/2015 03:38:00 PM","Transfer","05/21/2015 11:02:00 AM","Stray","Domestic Shorthair Mix","Black",12,0
"A677624",55,"06/21/2014 02:51:00 PM","Adoption","04/27/2014 11:23:00 AM","Stray","Domestic Shorthair Mix","Black",1,1
"A699075",1,"03/23/2015 09:00:00 AM","Transfer","03/22/2015 10:56:00 AM","Stray","Domestic Shorthair Mix","Black",12,0
"A754906",4,"07/30/2017 10:47:00 PM","Adoption","07/26/2017 01:50:00 PM","Stray","Domestic Longhair Mix","Blue Tabby",1,1
"A767442",30,"03/31/2018 05:26:00 PM","Adoption","03/01/2018 10:50:00 AM","Owner Surrender","Domestic Shorthair Mix","Seal Point",24,1
"A676984",18,"05/05/2014 12:31:00 PM","Transfer","04/17/2014 05:12:00 PM","Stray","Domestic Longhair Mix","Black/White",24,0
"A666200",5,"11/02/2013 05:07:00 PM","Adoption","10/28/2013 04:03:00 PM","Stray","Siamese Mix","Lilac Point",3,1
"A728539",34,"07/09/2016 05:52:00 PM","Adoption","06/05/2016 03:02:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",1,1
"A686070",1,"08/17/2014 09:00:00 AM","Transfer","08/16/2014 11:17:00 AM","Stray","Domestic Shorthair Mix","Cream Tabby/White",24,0
"A726812",10,"05/24/2016 04:21:00 PM","Adoption","05/14/2016 06:23:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",1,1
"A687804",2,"09/12/2014 09:00:00 AM","Transfer","09/10/2014 12:16:00 PM","Stray","Domestic Shorthair Mix","Blue",24,0
"A771402",9,"05/13/2018 12:50:00 PM","Adoption","05/04/2018 02:12:00 PM","Owner Surrender","Domestic Shorthair Mix","Blue/White",12,1
"A737666",7,"11/09/2016 02:16:00 PM","Transfer","11/02/2016 12:21:00 PM","Stray","Domestic Medium Hair Mix","Black",4,0
"A692589",21,"12/14/2014 05:32:00 PM","Adoption","11/23/2014 11:32:00 AM","Stray","Domestic Shorthair Mix","Blue/White",3,1
"A706067",5,"06/29/2015 01:55:00 PM","Transfer","06/24/2015 12:17:00 PM","Stray","Domestic Shorthair Mix","White/Black",3,0
"A667606",60,"01/19/2014 04:47:00 PM","Adoption","11/20/2013 12:29:00 PM","Stray","Domestic Shorthair Mix","Torbie",1,1
"A710491",68,"10/31/2015 07:48:00 AM","Adoption","08/24/2015 08:40:00 AM","Stray","Domestic Longhair Mix","Black/White",4,1
"A726861",27,"06/11/2016 04:39:00 PM","Adoption","05/15/2016 02:30:00 PM","Owner Surrender","Domestic Shorthair Mix","White/Tan",12,1
"A728524",5,"06/10/2016 02:28:00 PM","Adoption","06/05/2016 12:32:00 PM","Stray","Domestic Medium Hair Mix","Brown",12,1
"A715799",1,"11/11/2015 11:39:00 AM","Transfer","11/10/2015 11:57:00 AM","Stray","Domestic Shorthair Mix","Black",4,0
"A761854",27,"12/07/2017 06:52:00 PM","Adoption","11/10/2017 03:40:00 PM","Owner Surrender","Domestic Shorthair Mix","Tortie",96,1
"A719347",5,"01/22/2016 07:04:00 PM","Adoption","01/17/2016 05:36:00 PM","Stray","Snowshoe Mix","Lynx Point/White",24,1
"A765890",4,"02/02/2018 02:17:00 PM","Transfer","01/29/2018 01:56:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",12,0
"A759297",47,"11/16/2017 12:33:00 PM","Adoption","09/30/2017 11:44:00 AM","Owner Surrender","Domestic Shorthair Mix","Black",36,1
